"species";"lon";"lat";"municipality";"adm1"
"432";"Euterpe edulis";-42.05;-22;"Nova Friburgo";"Rio de Janeiro"
"434";"Euterpe edulis";-42.05;-22;"Nova Friburgo";"Rio de Janeiro"
"436";"Euterpe edulis";-42.05;-22;"Nova Friburgo";"Rio de Janeiro"
"441";"Euterpe edulis";-40.530278;-19.971389;"Santa Teresa";"Espírito Santo"
"442";"Euterpe edulis";-40.589167;-19.922222;"Santa Teresa";"Espírito Santo"
"443";"Euterpe edulis";-40.589167;-19.922222;"Santa Teresa";"Espírito Santo"
"445";"Euterpe edulis";-40.6003;-19.9356;"Santa Teresa";"Espírito Santo"
"446";"Euterpe edulis";-40.530278;-19.971389;"Santa Teresa";"Espírito Santo"
"450";"Euterpe edulis";-40.530278;-19.971389;"Santa Teresa";"Espírito Santo"
"453";"Euterpe edulis";-40.616667;-19.936111;"Santa Teresa";"Espírito Santo"
"456";"Euterpe edulis";-40.632778;-19.915;"Santa Teresa";"Espírito Santo"
"457";"Euterpe edulis";-38.433333;-12.166667;"ALAGOINHAS";"Bahia"
"458";"Euterpe edulis";-40.632778;-19.915;"Santa Teresa";"Espírito Santo"
"459";"Euterpe edulis";-40.632778;-19.915;"Santa Teresa";"Espírito Santo"
"462";"Euterpe edulis";-39.05;-13.5;"CAIRÚ";"Bahia"
"463";"Euterpe edulis";-39.05;-13.5;"Cairu";"Bahia"
"468";"Euterpe edulis";-40.063611;-19.1375;"Linhares";"Espírito Santo"
"469";"Euterpe edulis";-40.063611;-19.1375;"Linhares";"Espírito Santo"
"472";"Euterpe edulis";-39.133333;-16.383333;"SANTA CRUZ CABRÁLIA";"Bahia"
"473";"Euterpe edulis";-79.666667;9.133333;"J. Summit";"Panama"
"477";"Euterpe edulis";-39.069167;-14.781944;"IlhÃ©us";"Bahia"
"482";"Euterpe edulis";-40.6075;-19.931389;"Santa Teresa";"Espírito Santo"
"485";"Euterpe edulis";-39.285278;-16.618611;"Porto Seguro";"Bahia"
"486";"Euterpe edulis";-39.285278;-16.618611;"Porto Seguro";"Bahia"
"491";"Euterpe edulis";-40.530278;-19.971389;"Santa Teresa";"Espírito Santo"
"493";"Euterpe edulis";-39.133333;-16.383333;"Santa Cruz Cabrália";"Bahia"
"494";"Euterpe edulis";-39.133333;-16.383333;"SANTA CRUZ CABRÁLIA";"Bahia"
"495";"Euterpe edulis";-48.552778;-27.158056;"Porto Belo";"Sc"
"517";"Euterpe edulis";-38.3;-12.483333;"Camaçari";"Bahia"
"523";"Euterpe edulis";-39.416667;-16.883333;"PORTO SEGURO";"Bahia"
"524";"Euterpe edulis";-39.416667;-16.883333;"Porto Seguro";"Bahia"
